"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"ATTINY85-20PU","Microchip Technology","ATTINY85-20PU-ND","","","Tube","Active","1","1.20000","$1.20","424","7 Weeks","IC MCU 8BIT 8KB FLASH 8DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"114-87-308-41-134161","Preci-Dip","1212-1032-ND","","","Tube","Active","1","0.57000","$0.57","3379","10 Weeks","CONN IC DIP SOCKET 8POS GOLD","ROHS3 Compliant","Lead free","REACH Unaffected"
"JS202011SCQN","C&K","401-2002-1-ND","","","Cut Tape (CT)","Active","1","0.48000","$0.48","63083","13 Weeks","SWITCH SLIDE DPDT 300MA 6V","ROHS3 Compliant","Lead free","REACH Unaffected"
"APTR3216PBC/A","Kingbright","754-1169-1-ND","","","Cut Tape (CT)","Active","12","0.47900","$5.74","198739","9 Weeks","LED BLUE CLEAR CHIP SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0805FT68R0","Stackpole Electronics Inc","RMCF0805FT68R0CT-ND","","","Cut Tape (CT)","Active","4","0.10000","$0.40","54109","17 Weeks","RES 68 OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0805ZT0R00","Stackpole Electronics Inc","RMCF0805ZT0R00CT-ND","","","Cut Tape (CT)","Active","7","0.10000","$0.70","1039707","17 Weeks","RES 0 OHM JUMPER 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-074K7L","Yageo","311-4.70KCRCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","4827587","16 Weeks","RES SMD 4.7K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"PTS645SL50SMTR92 LFS","C&K","CKN9088CT-ND","","","Cut Tape (CT)","Active","1","0.31000","$0.31","123917","14 Weeks","SWITCH TACTILE SPST-NO 0.05A 12V","ROHS3 Compliant","Lead free","REACH Unaffected"
"3000","Keystone Electronics","36-3000-ND","","","Bulk","Active","6","0.52000","$3.12","4750","6 Weeks","BATTERY RETAINER COIN 12MM SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"SM4004PL-TP","Micro Commercial Co","SM4004PL-TPMSCT-ND","","","Cut Tape (CT)","Active","1","0.20000","$0.20","29958","12 Weeks","DIODE GEN PURP 400V 1A SOD123FL","ROHS3 Compliant","Lead free","REACH Unaffected"
